num,serial_number,status,hora
1,'5100250007908575,BCMP OK,13:00:23
2,'5100250007908574,BCMP OK,13:00:50
3,'5100250007908572,BCMP OK,13:01:11
4,'5100250007908571,BCMP OK,13:01:37
5,'5100250007908585,BCMP OK,13:01:59
6,'5100250007908584,BCMP OK,13:02:27
7,'5100250007908583,BCMP OK,13:02:48
8,'5100250007908581,BCMP OK,13:03:12
9,'5100250007908580,BCMP OK,13:03:36
10,'5100250007908579,BCMP OK,13:04:00
11,'5100250007908578,BCMP OK,13:04:27
12,'5100250007908582,BCMP OK,13:04:49
13,'5100250007908586,BCMP OK,13:05:13
14,'5100250007908587,BCMP OK,13:05:36
15,'5100250007908588,BCMP OK,13:05:59
16,'5100250007908590,BCMP OK,13:06:24
17,'5100250007908593,BCMP OK,13:06:49
18,'5100250007908592,BCMP OK,13:07:11
19,'5100250007908591,BCMP OK,13:07:35
20,'5100250007908589,BCMP OK,13:07:59
21,'5100250007908602,BCMP OK,13:08:24
22,'5100250007908598,BCMP OK,13:08:48
23,'5100250007908633,BCMP OK,13:09:12
24,'5100250007908634,BCMP OK,13:09:36
25,'5100250007908635,BCMP OK,13:09:59
26,'5100250007908597,BCMP OK,13:10:34
27,'5100250007908638,BCMP OK,13:10:56
28,'5100250007908225,BCMP OK,13:11:02
29,'5100250007908599,BCMP OK,13:11:16
30,'5100250007908226,BCMP OK,13:11:24
31,'5100250007908600,BCMP OK,13:11:37
32,'5100250007908227,BCMP OK,13:11:48
33,'5100250007908601,BCMP OK,13:11:59
34,'5100250007908229,BCMP OK,13:12:12
35,'5100250007908595,BCMP OK,13:12:23
36,'5100250007908228,BCMP OK,13:12:36
37,'5100250007908594,BCMP OK,13:12:47
38,'5100250007908230,BCMP OK,13:13:00
39,'5100250007908607,BCMP OK,13:13:10
40,'5100250007908231,BCMP OK,13:13:30
41,'5100250007908615,BCMP OK,13:13:35
42,'5100250007908232,BCMP OK,13:13:47
43,'5100250007908614,BCMP OK,13:14:00
44,'5100250007908190,BCMP OK,13:14:11
45,'5100250007908612,BCMP OK,13:14:23
46,'5100250007908193,BCMP OK,13:14:36
47,'5100250007908611,BCMP OK,13:14:47
48,'5100250007908218,BCMP OK,13:15:00
49,'5100250007908610,BCMP OK,13:15:11
50,'5100250007908220,BCMP OK,13:15:22
51,'5100250007908606,BCMP OK,13:15:35
52,'5100250007908223,BCMP OK,13:15:55
53,'5100250007908605,BCMP OK,13:15:59
54,'5100250007908204,BCMP OK,13:16:10
55,'5100250007908221,BCMP OK,13:16:33
56,'5100250007908604,BCMP OK,13:16:38
57,'5100250007908222,BCMP OK,13:16:57
58,'5100250007908603,BCMP OK,13:17:05
59,'5100250007908623,BCMP OK,13:17:40
60,'5100250007908234,BCMP OK,13:17:54
61,'5100250007908622,BCMP OK,13:17:55
62,'5100250007908208,BCMP OK,13:18:09
63,'5100250007908621,BCMP OK,13:18:10
64,'5100250007908191,BCMP OK,13:18:24
65,'5100250007908619,BCMP OK,13:18:31
66,'5100250007908194,BCMP OK,13:18:45
67,'5100250007908618,BCMP OK,13:18:57
68,'5100250007908209,BCMP OK,13:19:08
69,'5100250007908617,BCMP OK,13:19:21
70,'5100250007908195,BCMP OK,13:19:31
71,'5100250007908616,BCMP OK,13:19:45
72,'5100250007908207,BCMP OK,13:19:55
73,'5100250007908620,BCMP OK,13:20:09
74,'5100250007908203,BCMP OK,13:20:19
75,'5100250007908202,BCMP OK,13:20:43
76,'5100250007908200,BCMP OK,13:21:06
77,'5100250007908205,BCMP OK,13:21:30
78,'5100250007908217,BCMP OK,13:21:54
79,'5100250007908215,BCMP OK,13:22:31
80,'5100250007908216,BCMP OK,13:22:51
81,'5100250007908214,BCMP OK,13:23:08
82,'5100250007908206,BCMP OK,13:23:29
83,'5100250007908210,BCMP OK,13:23:57
84,'5100250007908211,BCMP OK,13:24:17
85,'5100250007908213,BCMP OK,13:24:40
86,'5100250007908241,BCMP OK,13:25:15
87,'5100250007908239,BCMP OK,13:25:36
88,'5100250007908201,BCMP OK,13:25:53
89,'5100250007908244,BCMP OK,13:26:38
90,'5100250007908242,BCMP OK,13:27:03
91,'5100250007908240,BCMP OK,13:27:23
92,'5100250007908609,BCMP OK,13:27:37
93,'5100250007908233,BCMP OK,13:27:43
94,'5100250007908236,BCMP OK,13:28:03
95,'5100250007908608,BCMP OK,13:28:12
96,'5100250007908235,BCMP OK,13:28:19
97,'5100250007908624,BCMP OK,13:28:36
98,'5100250007908248,BCMP OK,13:28:43
99,'5100250007908632,BCMP OK,13:28:51
100,'5100250007908246,BCMP OK,13:29:07
101,'5100250007908626,BCMP OK,13:29:28
102,'5100250007908245,BCMP OK,13:29:39
103,'5100250007908625,BCMP OK,13:29:46
104,'5100250007908243,BCMP OK,13:30:03
105,'5100250007908642,BCMP OK,13:30:12
106,'5100250007908249,BCMP OK,13:30:25
107,'5100250007908627,BCMP OK,13:30:25
108,'5100250007908251,BCMP OK,13:30:42
109,'5100250007908629,BCMP OK,13:30:56
110,'5100250007908253,BCMP OK,13:31:06
111,'5100250007908628,BCMP OK,13:31:19
112,'5100250007908238,BCMP OK,13:31:30
113,'5100250007908643,BCMP OK,13:31:40
114,'5100250007908237,BCMP OK,13:31:56
115,'5100250007908644,BCMP OK,13:32:00
116,'5100250007908250,BCMP OK,13:32:18
117,'5100250007908631,BCMP OK,13:32:31
118,'5100250007908254,BCMP OK,13:32:41
119,'5100250007908630,BCMP OK,13:32:53
120,'5100250007908256,BCMP OK,13:33:05
121,'5100250007908255,BCMP OK,13:33:29
122,'5100250007908646,BCMP OK,13:33:45
123,'5100250007908260,BCMP OK,13:33:52
124,'5100250007908262,BCMP OK,13:34:16
125,'5100250007908648,BCMP OK,13:34:16
126,'5100250007908647,BCMP OK,13:34:40
127,'5100250007908261,BCMP OK,13:34:44
128,'5100250007908649,BCMP OK,13:35:00
129,'5100250007908650,BCMP OK,13:35:13
130,'5100250007908258,BCMP OK,13:35:13
131,'5100250007908257,BCMP OK,13:35:31
132,'5100250007908651,BCMP OK,13:35:33
133,'5100250007908259,BCMP OK,13:35:51
134,'5100250007908652,BCMP OK,13:35:58
135,'5100250007908263,BCMP OK,13:36:16
136,'5100250007908653,BCMP OK,13:36:21
137,'5100250007908654,BCMP OK,13:36:44
138,'5100250007908264,BCMP OK,13:36:47
139,'5100250007908272,BCMP OK,13:37:06
140,'5100250007908645,BCMP OK,13:37:07
141,'5100250007908271,BCMP OK,13:37:26
142,'5100250007908656,BCMP OK,13:37:44
143,'5100250007908270,BCMP OK,13:37:50
144,'5100250007908655,BCMP OK,13:38:08
145,'5100250007908657,BCMP OK,13:38:29
146,'5100250007908269,BCMP OK,13:38:32
147,'5100250007908658,BCMP OK,13:38:45
148,'5100250007908268,BCMP OK,13:38:52
149,'5100250007908267,BCMP OK,13:39:14
150,'5100250007908660,BCMP OK,13:39:20
151,'5100250007908273,BCMP OK,13:39:32
152,'5100250007908659,BCMP OK,13:39:33
153,'5100250007908275,BCMP OK,13:39:49
154,'5100250007908661,BCMP OK,13:39:55
155,'5100250007908274,BCMP OK,13:40:12
156,'5100250007908662,BCMP OK,13:40:19
157,'5100250007908266,BCMP OK,13:40:36
158,'5100250007908664,BCMP OK,13:40:44
159,'5100250007908284,BCMP OK,13:41:00
160,'5100250007908663,BCMP OK,13:41:07
161,'5100250007908265,BCMP OK,13:41:24
162,'5100250007908666,BCMP OK,13:41:31
163,'5100250007908277,BCMP OK,13:41:48
164,'5100250007908665,BCMP OK,13:41:55
165,'5100250007908287,BCMP OK,13:42:11
166,'5100250007908668,BCMP OK,13:42:19
167,'5100250007908286,BCMP OK,13:42:35
168,'5100250007908667,BCMP OK,13:42:43
169,'5100250007908285,BCMP OK,13:42:59
170,'5100250007908670,BCMP OK,13:43:07
171,'5100250007908280,BCMP OK,13:43:23
172,'5100250007908669,BCMP OK,13:43:31
173,'5100250007908279,BCMP OK,13:43:46
174,'5100250007908672,BCMP OK,13:43:55
175,'5100250007908289,BCMP OK,13:44:10
176,'5100250007908671,BCMP OK,13:44:19
177,'5100250007908288,BCMP OK,13:44:34
178,'5100250007908674,BCMP OK,13:44:43
179,'5100250007908291,BCMP OK,13:44:59
180,'5100250007908673,BCMP OK,13:45:07
181,'5100250007908290,BCMP OK,13:45:22
182,'5100250007908676,BCMP OK,13:45:31
183,'5100250007908292,BCMP OK,13:45:46
184,'5100250007908675,BCMP OK,13:45:55
185,'5100250007908281,BCMP OK,13:46:09
186,'5100250007908678,BCMP OK,13:46:29
187,'5100250007908278,BCMP OK,13:46:33
188,'5100250007908677,BCMP OK,13:46:43
189,'5100250007908276,BCMP OK,13:46:57
190,'5100250007908295,BCMP OK,13:47:20
191,'5100250007908680,BCMP OK,13:47:37
192,'5100250007908294,BCMP OK,13:47:44
193,'5100250007908679,BCMP OK,13:47:58
194,'5100250007908299,BCMP OK,13:48:09
195,'5100250007908682,BCMP OK,13:48:17
196,'5100250007908293,BCMP OK,13:48:32
197,'5100250007908681,BCMP OK,13:48:32
198,'5100250007908684,BCMP OK,13:48:54
199,'5100250007908298,BCMP OK,13:48:55
200,'5100250007908683,BCMP OK,13:49:17
201,'5100250007908297,BCMP OK,13:49:19
202,'5100250007908302,BCMP OK,13:49:48
203,'5100250007908301,BCMP OK,13:50:07
204,'5100250007908685,BCMP OK,13:50:35
205,'5100250007908308,BCMP OK,13:50:39
206,'5100250007908307,BCMP OK,13:50:55
207,'5100250007908311,BCMP OK,13:51:18
208,'5100250007908686,BCMP OK,13:51:24
209,'5100250007908309,BCMP OK,13:51:42
210,'5100250007908688,BCMP OK,13:52:02
211,'5100250007908296,BCMP OK,13:52:06
212,'5100250007908687,BCMP OK,13:52:21
213,'5100250007908300,BCMP OK,13:52:29
214,'5100250007908689,BCMP OK,13:52:38
215,'5100250007908304,BCMP OK,13:52:53
